ID;Consommation;Annee;Mois;Jour;Creneau;JourSem;NumSem;temp;cover;hum;dummyJF;vacances_zone_a;vacances_zone_b;vacances_zone_c;nb_zones
2016-01-06-21;50125175788;2016;1;6;21;mercredi;1;6,931578947;92,86666667;86,42105263;0;0;0;0;0
2016-01-07-00;46057326955;2016;1;7;0;jeudi;1;6,978947368;98,33333333;88,21052632;0;0;0;0;0
2016-01-07-03;42080716559;2016;1;7;3;jeudi;1;7,218421053;97,67857143;90,18421053;0;0;0;0;0
2016-01-07-06;51590288160;2016;1;7;6;jeudi;1;7,939473684;98,85714286;87,71052632;0;0;0;0;0
2016-01-07-09;55071752111;2016;1;7;9;jeudi;1;8,805263158;93,33333333;84,97368421;0;0;0;0;0
2016-01-07-12;53651981661;2016;1;7;12;jeudi;1;10,5;87;78,02631579;0;0;0;0;0
2016-01-07-15;51148196692;2016;1;7;15;jeudi;1;10,52631579;82,67857143;74,36842105;0;0;0;0;0
2016-01-07-18;54619760407;2016;1;7;18;jeudi;1;8,8;85,5;78,71052632;0;0;0;0;0
2016-01-07-21;49591473772;2016;1;7;21;jeudi;1;7,857894737;94,375;81,73684211;0;0;0;0;0
2016-01-08-00;45620533528;2016;1;8;0;vendredi;1;7,15;92,53846154;84,65789474;0;0;0;0;0
2016-01-08-03;42071464146;2016;1;8;3;vendredi;1;6,426315789;89,41666667;88,68421053;0;0;0;0;0
2016-01-08-06;51622019024;2016;1;8;6;vendredi;1;6,094736842;86,83333333;90,94736842;0;0;0;0;0
2016-01-08-09;54451368496;2016;1;8;9;vendredi;1;6,921052632;87,5;90,13157895;0;0;0;0;0
2016-01-08-12;52487047152;2016;1;8;12;vendredi;1;10,28157895;89;80,76315789;0;0;0;0;0
2016-01-08-15;49322681034;2016;1;8;15;vendredi;1;10,64473684;91,16666667;81,23684211;0;0;0;0;0
2016-01-08-18;52145620614;2016;1;8;18;vendredi;1;9,018421053;91,09375;88,42105263;0;0;0;0;0
2016-01-08-21;48122405788;2016;1;8;21;vendredi;1;8,094736842;90,03703704;92,10526316;0;0;0;0;0
2016-01-09-00;43337772034;2016;1;9;0;samedi;1;8,168421053;96,25806452;92,42105263;0;0;0;0;0
2016-01-09-03;38010953112;2016;1;9;3;samedi;1;8,060526316;95,85714286;92,10526316;0;0;0;0;0
2016-01-09-06;41135496969;2016;1;9;6;samedi;1;7,997368421;88,65714286;93,28947368;0;0;0;0;0
2016-01-09-09;45840421219;2016;1;9;9;samedi;1;8,634210526;90,88571429;92,65789474;0;0;0;0;0
2016-01-09-12;46147171436;2016;1;9;12;samedi;1;10,76315789;90,9375;85,10526316;0;0;0;0;0
2016-01-09-15;42668633422;2016;1;9;15;samedi;1;11,15263158;94,2;82,10526316;0;0;0;0;0
2016-01-09-18;47154198045;2016;1;9;18;samedi;1;9,310526316;90,83333333;86,5;0;0;0;0;0
2016-01-09-21;45188032632;2016;1;9;21;samedi;1;8,852631579;89,25925926;86,57894737;0;0;0;0;0
2016-01-10-00;42458742551;2016;1;10;0;dimanche;2;8,671052632;92,86206897;84,81578947;0;0;0;0;0
2016-01-10-03;37037739813;2016;1;10;3;dimanche;2;7,689473684;88,28571429;85,68421053;0;0;0;0;0
2016-01-10-06;38611667312;2016;1;10;6;dimanche;2;7,084210526;81,3030303;88,13157895;0;0;0;0;0
2016-01-10-09;44172488561;2016;1;10;9;dimanche;2;7,686842105;88,96969697;87,68421053;0;0;0;0;0
2016-01-10-12;45654263224;2016;1;10;12;dimanche;2;9,547368421;90;81,60526316;0;0;0;0;0
2016-01-10-15;41726431877;2016;1;10;15;dimanche;2;9,978947368;86,875;79,47368421;0;0;0;0;0
2016-01-10-18;47485880185;2016;1;10;18;dimanche;2;8,576315789;91,66666667;85,05263158;0;0;0;0;0
2016-01-10-21;45496440853;2016;1;10;21;dimanche;2;7,984210526;90,75;87,26315789;0;0;0;0;0
2016-01-11-00;43181722440;2016;1;11;0;lundi;2;7,942105263;95,92592593;89,23684211;0;0;0;0;0
2016-01-11-03;39550702646;2016;1;11;3;lundi;2;8,5;92,33333333;86,47368421;0;0;0;0;0
2016-01-11-06;49883177607;2016;1;11;6;lundi;2;8,344736842;93,75;86,78947368;0;0;0;0;0
2016-01-11-09;53882766319;2016;1;11;9;lundi;2;8,557894737;92,25806452;83,81578947;0;0;0;0;0
